date, rr, since start
2025-03-15 11:03:00 +0000, 966, 0
2025-03-15 11:03:00 +0000, 995, 966
2025-03-15 11:03:01 +0000, 982, 1961
2025-03-15 11:03:02 +0000, 955, 2943
2025-03-15 11:03:03 +0000, 981, 3898
2025-03-15 11:03:04 +0000, 977, 4879
2025-03-15 11:03:05 +0000, 960, 5856
2025-03-15 11:03:06 +0000, 946, 6816
2025-03-15 11:03:07 +0000, 953, 7762
2025-03-15 11:03:08 +0000, 981, 8715
2025-03-15 11:03:09 +0000, 980, 9696
2025-03-15 11:03:10 +0000, 970, 10676
2025-03-15 11:03:11 +0000, 970, 11646
2025-03-15 11:03:12 +0000, 983, 12616
2025-03-15 11:03:13 +0000, 993, 13599
2025-03-15 11:03:14 +0000, 984, 14592
2025-03-15 11:03:15 +0000, 961, 15576
2025-03-15 11:03:16 +0000, 965, 16537
2025-03-15 11:03:17 +0000, 970, 17502
2025-03-15 11:03:18 +0000, 935, 18472
2025-03-15 11:03:19 +0000, 955, 19407
2025-03-15 11:03:20 +0000, 988, 20362
2025-03-15 11:03:21 +0000, 1005, 21350
2025-03-15 11:03:22 +0000, 982, 22355
2025-03-15 11:03:23 +0000, 984, 23337
2025-03-15 11:03:24 +0000, 989, 24321
2025-03-15 11:03:25 +0000, 990, 25310
2025-03-15 11:03:26 +0000, 945, 26300
2025-03-15 11:03:27 +0000, 957, 27245
2025-03-15 11:03:28 +0000, 946, 28202
2025-03-15 11:03:29 +0000, 946, 29148
2025-03-15 11:03:30 +0000, 968, 30094
2025-03-15 11:03:31 +0000, 965, 31062
2025-03-15 11:03:32 +0000, 1003, 32027
2025-03-15 11:03:33 +0000, 1010, 33030
2025-03-15 11:03:34 +0000, 971, 34040
2025-03-15 11:03:35 +0000, 978, 35011
2025-03-15 11:03:35 +0000, 956, 35989
2025-03-15 11:03:36 +0000, 972, 36945
2025-03-15 11:03:37 +0000, 961, 37917
2025-03-15 11:03:38 +0000, 960, 38878
2025-03-15 11:03:39 +0000, 985, 39838
2025-03-15 11:03:40 +0000, 1005, 40823
2025-03-15 11:03:41 +0000, 1001, 41828
2025-03-15 11:03:42 +0000, 994, 42829
2025-03-15 11:03:43 +0000, 994, 43823
2025-03-15 11:03:44 +0000, 984, 44817
2025-03-15 11:03:45 +0000, 967, 45801
2025-03-15 11:03:46 +0000, 951, 46768
2025-03-15 11:03:47 +0000, 967, 47719
2025-03-15 11:03:48 +0000, 975, 48686
2025-03-15 11:03:49 +0000, 1011, 49661
2025-03-15 11:03:50 +0000, 970, 50672
2025-03-15 11:03:51 +0000, 977, 51642
2025-03-15 11:03:52 +0000, 1016, 52619
2025-03-15 11:03:53 +0000, 1017, 53635
2025-03-15 11:03:54 +0000, 984, 54652
2025-03-15 11:03:55 +0000, 981, 55636
2025-03-15 11:03:56 +0000, 995, 56617
2025-03-15 11:03:57 +0000, 972, 57612
2025-03-15 11:03:58 +0000, 946, 58584
2025-03-15 11:03:59 +0000, 966, 59530
2025-03-15 11:04:00 +0000, 1008, 60496
2025-03-15 11:04:01 +0000, 987, 61504
2025-03-15 11:04:02 +0000, 994, 62491
2025-03-15 11:04:03 +0000, 994, 63485
2025-03-15 11:04:04 +0000, 993, 64479
2025-03-15 11:04:05 +0000, 996, 65472
2025-03-15 11:04:06 +0000, 973, 66468
2025-03-15 11:04:07 +0000, 990, 67441
2025-03-15 11:04:08 +0000, 986, 68431
2025-03-15 11:04:09 +0000, 981, 69417
2025-03-15 11:04:10 +0000, 977, 70398
2025-03-15 11:04:11 +0000, 980, 71375
2025-03-15 11:04:12 +0000, 1019, 72355
2025-03-15 11:04:13 +0000, 1002, 73374
2025-03-15 11:04:14 +0000, 986, 74376
2025-03-15 11:04:15 +0000, 984, 75362
2025-03-15 11:04:16 +0000, 971, 76346
2025-03-15 11:04:17 +0000, 977, 77317
2025-03-15 11:04:18 +0000, 946, 78294
2025-03-15 11:04:19 +0000, 958, 79240
2025-03-15 11:04:20 +0000, 986, 80198
2025-03-15 11:04:21 +0000, 1014, 81184
2025-03-15 11:04:22 +0000, 1015, 82198
2025-03-15 11:04:23 +0000, 993, 83213
2025-03-15 11:04:24 +0000, 1002, 84206
2025-03-15 11:04:25 +0000, 998, 85208
2025-03-15 11:04:26 +0000, 987, 86206
2025-03-15 11:04:27 +0000, 974, 87193
2025-03-15 11:04:28 +0000, 980, 88167
2025-03-15 11:04:29 +0000, 978, 89147
2025-03-15 11:04:30 +0000, 999, 90125
2025-03-15 11:04:31 +0000, 994, 91124
2025-03-15 11:04:32 +0000, 1022, 92118
2025-03-15 11:04:33 +0000, 1014, 93140
2025-03-15 11:04:34 +0000, 1019, 94154
2025-03-15 11:04:35 +0000, 974, 95173
