date, rr, since start
2025-03-20 09:10:00 +0000, 670, 0
2025-03-20 09:10:00 +0000, 709, 670
2025-03-20 09:10:01 +0000, 687, 1379
2025-03-20 09:10:02 +0000, 686, 2066
2025-03-20 09:10:02 +0000, 693, 2752
2025-03-20 09:10:03 +0000, 677, 3445
2025-03-20 09:10:04 +0000, 820, 4122
2025-03-20 09:10:04 +0000, 698, 4942
2025-03-20 09:10:05 +0000, 670, 5640
2025-03-20 09:10:06 +0000, 686, 6310
2025-03-20 09:10:06 +0000, 654, 6996
2025-03-20 09:10:07 +0000, 672, 7650
2025-03-20 09:10:08 +0000, 639, 8322
2025-03-20 09:10:08 +0000, 670, 8961
2025-03-20 09:10:09 +0000, 688, 9631
2025-03-20 09:10:10 +0000, 684, 10319
2025-03-20 09:10:11 +0000, 676, 11003
2025-03-20 09:10:11 +0000, 671, 11679
2025-03-20 09:10:12 +0000, 698, 12350
2025-03-20 09:10:13 +0000, 715, 13048
2025-03-20 09:10:13 +0000, 696, 13763
2025-03-20 09:10:14 +0000, 671, 14459
2025-03-20 09:10:15 +0000, 685, 15130
2025-03-20 09:10:15 +0000, 657, 15815
2025-03-20 09:10:16 +0000, 661, 16472
2025-03-20 09:10:17 +0000, 677, 17133
2025-03-20 09:10:17 +0000, 653, 17810
2025-03-20 09:10:18 +0000, 662, 18463
2025-03-20 09:10:19 +0000, 668, 19125
2025-03-20 09:10:19 +0000, 680, 19793
2025-03-20 09:10:20 +0000, 715, 20473
2025-03-20 09:10:21 +0000, 718, 21188
2025-03-20 09:10:21 +0000, 716, 21906
2025-03-20 09:10:22 +0000, 680, 22622
2025-03-20 09:10:23 +0000, 710, 23302
2025-03-20 09:10:24 +0000, 733, 24012
2025-03-20 09:10:24 +0000, 700, 24745
2025-03-20 09:10:25 +0000, 684, 25445
2025-03-20 09:10:26 +0000, 709, 26129
2025-03-20 09:10:26 +0000, 652, 26838
2025-03-20 09:10:27 +0000, 668, 27490
2025-03-20 09:10:28 +0000, 662, 28158
2025-03-20 09:10:28 +0000, 1146, 28820
2025-03-20 09:10:29 +0000, 689, 29966
2025-03-20 09:10:30 +0000, 684, 30655
2025-03-20 09:10:31 +0000, 682, 31339
2025-03-20 09:10:32 +0000, 718, 32021
2025-03-20 09:10:32 +0000, 746, 32739
2025-03-20 09:10:33 +0000, 723, 33485
2025-03-20 09:10:34 +0000, 704, 34208
2025-03-20 09:10:34 +0000, 680, 34912
2025-03-20 09:10:35 +0000, 667, 35592
2025-03-20 09:10:36 +0000, 677, 36259
2025-03-20 09:10:36 +0000, 706, 36936
2025-03-20 09:10:37 +0000, 687, 37642
2025-03-20 09:10:38 +0000, 689, 38329
2025-03-20 09:10:39 +0000, 671, 39018
2025-03-20 09:10:39 +0000, 667, 39689
2025-03-20 09:10:40 +0000, 695, 40356
2025-03-20 09:10:41 +0000, 729, 41051
2025-03-20 09:10:41 +0000, 705, 41780
2025-03-20 09:10:42 +0000, 698, 42485
2025-03-20 09:10:43 +0000, 693, 43183
2025-03-20 09:10:43 +0000, 707, 43876
2025-03-20 09:10:44 +0000, 694, 44583
2025-03-20 09:10:45 +0000, 702, 45277
2025-03-20 09:10:45 +0000, 677, 45979
2025-03-20 09:10:46 +0000, 653, 46656
2025-03-20 09:10:47 +0000, 673, 47309
2025-03-20 09:10:47 +0000, 675, 47982
2025-03-20 09:10:48 +0000, 711, 48657
2025-03-20 09:10:49 +0000, 726, 49368
2025-03-20 09:10:50 +0000, 704, 50094
2025-03-20 09:10:50 +0000, 680, 50798
2025-03-20 09:10:51 +0000, 700, 51478
2025-03-20 09:10:52 +0000, 711, 52178
2025-03-20 09:10:52 +0000, 742, 52889
2025-03-20 09:10:53 +0000, 748, 53631
2025-03-20 09:10:54 +0000, 688, 54379
2025-03-20 09:10:55 +0000, 693, 55067
2025-03-20 09:10:55 +0000, 686, 55760
2025-03-20 09:10:56 +0000, 702, 56446
2025-03-20 09:10:57 +0000, 707, 57148
2025-03-20 09:10:57 +0000, 665, 57855
2025-03-20 09:10:58 +0000, 706, 58520
2025-03-20 09:10:59 +0000, 696, 59226
2025-03-20 09:10:59 +0000, 686, 59922
2025-03-20 09:11:00 +0000, 722, 60608
2025-03-20 09:11:01 +0000, 720, 61330
2025-03-20 09:11:02 +0000, 739, 62050
2025-03-20 09:11:02 +0000, 713, 62789
2025-03-20 09:11:03 +0000, 729, 63502
2025-03-20 09:11:04 +0000, 730, 64231
2025-03-20 09:11:04 +0000, 719, 64961
2025-03-20 09:11:05 +0000, 699, 65680
2025-03-20 09:11:06 +0000, 672, 66379
2025-03-20 09:11:07 +0000, 696, 67051
2025-03-20 09:11:07 +0000, 668, 67747
2025-03-20 09:11:08 +0000, 714, 68415
2025-03-20 09:11:09 +0000, 714, 69129
2025-03-20 09:11:09 +0000, 730, 69843
2025-03-20 09:11:10 +0000, 683, 70573
2025-03-20 09:11:11 +0000, 697, 71256
2025-03-20 09:11:11 +0000, 713, 71953
2025-03-20 09:11:12 +0000, 752, 72666
2025-03-20 09:11:13 +0000, 1200, 73418
2025-03-20 09:11:14 +0000, 697, 74618
2025-03-20 09:11:15 +0000, 689, 75315
2025-03-20 09:11:16 +0000, 714, 76004
2025-03-20 09:11:16 +0000, 702, 76718
2025-03-20 09:11:17 +0000, 696, 77420
2025-03-20 09:11:18 +0000, 689, 78116
2025-03-20 09:11:18 +0000, 683, 78805
2025-03-20 09:11:19 +0000, 678, 79488
2025-03-20 09:11:20 +0000, 719, 80166
2025-03-20 09:11:20 +0000, 711, 80885
2025-03-20 09:11:21 +0000, 730, 81596
2025-03-20 09:11:22 +0000, 709, 82326
2025-03-20 09:11:23 +0000, 682, 83035
2025-03-20 09:11:23 +0000, 724, 83717
2025-03-20 09:11:24 +0000, 720, 84441
2025-03-20 09:11:25 +0000, 716, 85161
2025-03-20 09:11:25 +0000, 700, 85877
2025-03-20 09:11:26 +0000, 674, 86577
2025-03-20 09:11:27 +0000, 701, 87251
2025-03-20 09:11:27 +0000, 703, 87952
